PAL;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
557003;Foreign Minister;Nazif al-Khalidi;1936;1964;1999;ML;Ideological Crusader;High;M557003;x
557004;Minister of Armament;George Humsi;1936;1964;1999;ML;Military Entrepreneur;Medium;M557004;x
557005;Minister of Security;Musa Qassem al-Husseini;1936;1964;1999;ML;Prince of Terror;Medium;M557005;x
557011;Head of State;Haj Amin al Husseini;1936;1964;1999;NS;Pig-headed Isolationist;High;M557011;x
557013;Head of State;Faid al-Alami;1936;1964;1999;SD;Benevolent Gentleman;High;M557013;x
557014;Head of State;Ruhi al-Khalidi;1936;1964;1999;LWR;Barking Buffoon;High;M557014;x
557015;Head of Government;Yussef Pasha al-Khalidi;1936;1964;1999;NS;Political Protege;High;M557015;x
557017;Head of Government;Ahmad Shukairy;1936;1964;1999;SD;Happy Amateur;High;M557017;x
557018;Head of Government;Haj Mustafa Abboushi;1936;1964;1999;LWR;Ambitious Union Boss;High;M557018;x
557019;Foreign Minister;Ragheed Nashasbibi;1936;1964;1999;NS;Iron Fisted Brute;High;M557019;x
557022;Foreign Minister;Hafiz Pasha Abdul Hadi;1936;1964;1999;LWR;Apologetic Clerk;High;M557022;x
557024;Minister of Armament;Abdullah Jaffer Dalal;1936;1964;1999;PA;Air Superiority Proponent;Medium;M557024;x
557025;Minister of Armament;Ruhi Abdul Hadi;1936;1964;1999;SD;laissez-faire capitalist;Medium;M557025;x
557026;Minister of Armament;Sharif Nasir al-Qagli;1936;1964;1999;LWR;Infantry Proponent;Medium;M557026;x
557027;Minister of Security;Awni Abdul Hadi;1936;1964;1999;NS;Crooked Kleptocrat;Medium;M557027;x
557028;Minister of Security;George Antinous;1936;1964;1999;PA;Compassionate Gentleman;Medium;M557028;x
557029;Minister of Security;Nicolas Abdo;1936;1964;1999;SD;Silent Lawyer;Medium;M557029;x
557030;Minister of Security;Dekel Shukri;1936;1964;1999;LWR;Back Stabber;Medium;M557030;x
557031;Head of Military Intelligence;Dr. Abu So'oud;1936;1964;1999;NS;Technical Specialist;Medium;M557031;x
557032;Head of Military Intelligence;Massoud al-Jinnah;1936;1964;1999;PA;Industrial Specialist;Medium;M557032;x
557033;Head of Military Intelligence;Faruk Haydar;1936;1964;1999;SD;Logistics Specialist;Medium;M557033;x
557034;Head of Military Intelligence;Majid Abd-el-Haqq;1936;1964;1999;LWR;Dismal Enigma;Medium;M557034;x
557035;Chief of Staff;Ali Djemal Pasha;1936;1964;1999;NS;School of Fire Support;Medium;M557035;x
557038;Chief of Staff;Faruk Haydar;1936;1964;1999;SD;School of Psychology;Medium;M557033;x
557039;Chief of Staff;Jaafra Pasha;1936;1964;1999;LWR;School of Defence;Medium;M557039;x
557040;Chief of Army;Aly al-Muttalib;1936;1964;1999;NS;Guns and Butter Doctrine;Medium;M557040;x
557043;Chief of Army;Liwa al-Mawawiyi;1936;1964;1999;SD;Elastic Defence Doctrine;Medium;M557043;x
557044;Chief of Army;Sharif Nasir al-Qagli;1936;1964;1999;LWR;Guns and Butter Doctrine;Medium;M557026;x
557045;Chief of Navy;Ali Djemal Pasha;1936;1964;1999;NS;Base Control Doctrine;Medium;M557035;x
557048;Chief of Navy;Ahmad Wasi Pasha;1936;1964;1999;LWR;Power Projection Doctrine;Medium;M557048;x
557049;Chief of Air Force;Mohammed Azmy Pasha;1936;1964;1999;NS;Army Aviation Doctrine;Medium;M512096;x
557050;Chief of Air Force;Abdullah Jaffer Dalal;1936;1964;1999;PA;Air Superiority Doctrine;Medium;M557024;x
557052;Chief of Air Force;Muhammed al-Taif;1936;1964;1999;LWR;Naval Aviation Doctrine;Medium;M557052;x
